,A0_min,A0_max,A1_min,A1_max,A2_min,A2_max,A3_min,A3_max,A4_min,A4_max,A5_min,A5_max,A6_min,A6_max,A7_min,A7_max,A8_min,A8_max,A9_min,A9_max,A10_min,A10_max,A11_min,A11_max,A12_min,A12_max,A13_min,A13_max,A14_min,A14_max,A15_min,A15_max,A16_min,A16_max,A17_min,A17_max,A18_min,A18_max,A19_min,A19_max,class
37,1354,1354,344,344,11,11,-2036,-2036,1583,1583,-2839,-2839,1081,1081,506,506,4428,4428,-2267,-2267,3829,3829,2246,2246,671,671,275,275,-287,-287,-1255,-1255,3584,3584,361,361,2297,2297,2462,2462,0
38,89,89,-74,-74,-526,-526,1415,1415,-154,-154,489,489,-249,-249,1257,1257,84,84,655,655,239,239,667,667,836,836,213,213,-83,-83,1152,1152,1144,1144,2801,2801,2162,2162,1371,1371,1
39,-2907,-2907,-639,-639,1224,1224,-2121,-2121,3932,3932,-2147,-2147,-1,-1,3571,3571,-1833,-1833,244,244,-74,-74,-3299,-3299,-521,-521,-183,-183,281,281,1501,1501,-447,-447,1403,1403,86,86,1095,1095,0
40,74,74,1193,1193,341,341,62,62,-2109,-2109,333,333,-21,-21,2762,2762,356,356,-3916,-3916,2528,2528,2466,2466,3257,3257,994,994,-3216,-3216,243,243,-1288,-1288,53,53,1199,1199,2526,2526,0
41,-623,-623,925,925,101,101,1955,1955,-241,-241,702,702,569,569,-1512,-1512,625,625,298,298,-31,-31,1191,1191,731,731,956,956,479,479,1967,1967,273,273,17,17,859,859,735,735,1
42,-2897,-2897,2689,2689,1745,1745,-2662,-2662,-2081,-2081,63,63,-2164,-2164,-1767,-1767,-1045,-1045,2514,2514,1287,1287,-4,-4,2321,2321,-1347,-1347,-2357,-2357,1378,1378,-48,-48,1135,1135,-1886,-1886,159,159,0
43,-2853,-2853,-1406,-1406,-2902,-2902,-122,-122,88,88,-259,-259,78,78,-6164,-6164,-3252,-3252,-485,-485,703,703,-348,-348,-317,-317,-1046,-1046,78,78,104,104,-3832,-3832,47,47,997,997,98,98,0
44,1143,1143,618,618,1154,1154,2162,2162,868,868,-76,-76,205,205,-64,-64,639,639,-33,-33,261,261,604,604,-707,-707,39,39,124,124,551,551,73,73,701,701,184,184,803,803,1
45,127,127,-1396,-1396,-14,-14,-343,-343,-1101,-1101,958,958,2484,2484,-52,-52,-1466,-1466,1426,1426,-1647,-1647,1228,1228,3364,3364,-882,-882,2381,2381,1419,1419,848,848,263,263,-2306,-2306,-1299,-1299,0
46,244,244,453,453,818,818,-3223,-3223,-2318,-2318,-95,-95,-1738,-1738,2462,2462,-4581,-4581,1753,1753,3709,3709,848,848,4672,4672,-88,-88,948,948,2745,2745,-1111,-1111,618,618,1573,1573,-1026,-1026,0
47,698,698,2911,2911,-318,-318,-1031,-1031,332,332,-1298,-1298,1043,1043,2232,2232,1685,1685,1355,1355,623,623,-127,-127,392,392,749,749,-322,-322,-657,-657,-879,-879,127,127,-666,-666,19,19,1
48,87,87,3034,3034,1932,1932,5094,5094,-4293,-4293,-2943,-2943,-241,-241,-3455,-3455,5762,5762,-12,-12,1284,1284,5028,5028,186,186,-3381,-3381,-195,-195,-1562,-1562,-2779,-2779,2788,2788,-131,-131,1588,1588,0
49,-434,-434,239,239,-887,-887,808,808,-278,-278,-776,-776,826,826,-193,-193,2143,2143,-1727,-1727,947,947,1451,1451,29,29,377,377,1774,1774,612,612,304,304,-979,-979,578,578,842,842,1
50,832,832,873,873,238,238,-1591,-1591,264,264,-1102,-1102,1267,1267,-174,-174,-18,-18,874,874,-492,-492,66,66,1956,1956,2323,2323,-1366,-1366,338,338,-396,-396,1061,1061,-792,-792,-96,-96,0
51,2725,2725,-314,-314,377,377,1045,1045,536,536,-1496,-1496,-221,-221,-176,-176,4247,4247,2791,2791,643,643,-2048,-2048,-2869,-2869,68,68,-362,-362,-1294,-1294,679,679,-2423,-2423,-102,-102,4513,4513,0
52,146,146,289,289,1366,1366,-877,-877,146,146,8,8,624,624,149,149,567,567,11,11,96,96,2627,2627,-442,-442,-988,-988,1791,1791,876,876,-249,-249,2676,2676,484,484,866,866,1
53,-148,-148,-173,-173,622,622,1136,1136,-249,-249,-48,-48,738,738,-101,-101,1266,1266,-55,-55,-2348,-2348,1662,1662,235,235,163,163,16,16,1318,1318,151,151,422,422,2022,2022,1138,1138,1
54,67,67,1762,1762,983,983,605,605,822,822,138,138,107,107,1678,1678,-296,-296,-361,-361,192,192,1324,1324,277,277,0,0,2093,2093,-408,-408,1708,1708,-638,-638,-1745,-1745,884,884,1
55,-2564,-2564,-536,-536,739,739,-1377,-1377,209,209,-971,-971,-66,-66,-2061,-2061,-3636,-3636,-3053,-3053,1958,1958,-1382,-1382,-1562,-1562,2082,2082,-166,-166,-1261,-1261,438,438,-3838,-3838,-559,-559,-1433,-1433,0
56,-831,-831,127,127,-764,-764,-1826,-1826,264,264,-2861,-2861,-3332,-3332,1673,1673,-843,-843,-793,-793,-3285,-3285,-805,-805,1342,1342,581,581,-1053,-1053,-5426,-5426,-1076,-1076,1226,1226,-412,-412,66,66,0
57,1753,1753,298,298,826,826,-716,-716,888,888,555,555,609,609,562,562,166,166,26,26,-229,-229,-226,-226,243,243,-1,-1,-1617,-1617,913,913,1841,1841,-742,-742,-146,-146,-344,-344,1
58,2891,2891,-608,-608,-633,-633,2319,2319,3843,3843,-335,-335,2522,2522,2787,2787,-2532,-2532,1289,1289,1971,1971,5856,5856,-486,-486,-3639,-3639,-1547,-1547,105,105,-1834,-1834,-325,-325,988,988,-2407,-2407,0
59,-291,-291,-654,-654,1568,1568,-2044,-2044,3824,3824,457,457,-1116,-1116,-537,-537,-3795,-3795,2014,2014,1665,1665,-2523,-2523,3879,3879,-657,-657,-1383,-1383,-203,-203,-962,-962,-1771,-1771,-1953,-1953,-3288,-3288,0
60,1184,1184,-1025,-1025,513,513,672,672,1486,1486,257,257,335,335,2603,2603,158,158,1151,1151,561,561,912,912,927,927,139,139,787,787,-35,-35,3,3,-857,-857,562,562,1147,1147,1
61,34,34,3296,3296,-83,-83,-85,-85,959,959,161,161,2326,2326,-66,-66,1217,1217,237,237,1228,1228,652,652,-754,-754,887,887,1781,1781,656,656,1172,1172,395,395,988,988,272,272,1
62,516,516,175,175,-335,-335,-2057,-2057,-1229,-1229,974,974,135,135,1486,1486,-2736,-2736,-999,-999,2214,2214,-1686,-1686,-2912,-2912,1505,1505,1452,1452,233,233,1733,1733,2089,2089,1258,1258,-3647,-3647,0
63,-298,-298,791,791,1994,1994,-479,-479,-927,-927,2394,2394,38,38,1283,1283,-2815,-2815,3649,3649,-2436,-2436,-1654,-1654,2224,2224,-3142,-3142,5817,5817,3381,3381,4779,4779,-3182,-3182,-1604,-1604,907,907,0
64,-19,-19,94,94,1245,1245,171,171,1737,1737,1723,1723,137,137,-1271,-1271,-516,-516,-294,-294,93,93,1483,1483,362,362,1771,1771,2478,2478,-1234,-1234,988,988,519,519,434,434,-906,-906,1
65,29,29,1841,1841,-222,-222,5183,5183,14,14,-1277,-1277,1427,1427,-1134,-1134,-111,-111,-1288,-1288,-1789,-1789,-828,-828,-4637,-4637,46,46,117,117,-1051,-1051,848,848,-2997,-2997,-723,-723,735,735,0
66,1332,1332,-91,-91,1243,1243,-35,-35,2332,2332,876,876,21,21,623,623,735,735,1327,1327,744,744,296,296,1511,1511,711,711,-698,-698,-746,-746,241,241,-68,-68,603,603,2566,2566,1
67,-437,-437,1061,1061,-742,-742,996,996,57,57,646,646,829,829,1926,1926,1355,1355,-307,-307,-29,-29,413,413,2271,2271,463,463,1383,1383,792,792,1119,1119,712,712,1343,1343,1178,1178,1
68,3333,3333,1133,1133,1623,1623,-1915,-1915,2069,2069,2144,2144,457,457,814,814,9,9,97,97,1708,1708,-4284,-4284,2354,2354,-2837,-2837,3227,3227,-465,-465,-2107,-2107,584,584,-875,-875,2097,2097,0
69,-3264,-3264,-1188,-1188,1477,1477,339,339,11,11,-1529,-1529,978,978,-1864,-1864,-3376,-3376,1053,1053,-1986,-1986,-132,-132,539,539,-393,-393,-5536,-5536,689,689,4206,4206,723,723,1152,1152,1101,1101,0
70,1263,1263,2132,2132,-1236,-1236,1203,1203,-1804,-1804,-147,-147,803,803,-259,-259,2204,2204,-581,-581,-228,-228,241,241,116,116,1486,1486,-1416,-1416,-89,-89,262,262,875,875,136,136,817,817,1
71,244,244,355,355,1602,1602,1038,1038,1237,1237,1995,1995,1564,1564,251,251,859,859,-196,-196,173,173,1339,1339,-92,-92,-901,-901,632,632,-146,-146,25,25,1196,1196,1804,1804,45,45,1
72,-93,-93,1471,1471,-489,-489,-2165,-2165,258,258,1071,1071,-2552,-2552,-3047,-3047,-2402,-2402,2695,2695,506,506,-121,-121,-1681,-1681,1227,1227,3738,3738,1489,1489,3961,3961,1145,1145,2497,2497,-1319,-1319,0
73,747,747,59,59,-2682,-2682,2448,2448,-1195,-1195,888,888,-383,-383,-1535,-1535,-639,-639,-3293,-3293,1247,1247,-3302,-3302,-281,-281,1689,1689,414,414,-884,-884,2078,2078,1368,1368,449,449,2014,2014,0
74,-552,-552,4628,4628,-3037,-3037,2506,2506,-24,-24,722,722,-1148,-1148,-218,-218,-192,-192,618,618,842,842,1747,1747,616,616,-206,-206,1191,1191,239,239,59,59,-4124,-4124,-2396,-2396,-96,-96,0
75,-1503,-1503,-151,-151,-995,-995,611,611,-108,-108,1,1,314,314,1841,1841,796,796,1623,1623,-686,-686,1673,1673,-332,-332,2293,2293,2255,2255,132,132,275,275,31,31,-907,-907,1251,1251,1
76,-1058,-1058,1494,1494,-739,-739,1244,1244,-291,-291,346,346,-825,-825,656,656,2902,2902,2322,2322,-432,-432,-296,-296,673,673,481,481,-748,-748,-148,-148,806,806,679,679,3561,3561,1103,1103,1
77,1333,1333,183,183,883,883,-1837,-1837,423,423,-29,-29,366,366,1246,1246,1373,1373,881,881,-8,-8,1697,1697,-227,-227,2506,2506,576,576,664,664,-812,-812,-998,-998,718,718,21,21,1
78,-833,-833,1462,1462,211,211,2147,2147,155,155,364,364,2224,2224,1709,1709,3048,3048,-2469,-2469,1035,1035,-97,-97,-252,-252,-258,-258,28,28,1089,1089,-814,-814,154,154,1288,1288,-374,-374,0
79,-2158,-2158,854,854,3823,3823,-1506,-1506,-1497,-1497,-1432,-1432,-1768,-1768,-1784,-1784,2209,2209,795,795,1573,1573,2967,2967,-286,-286,-1593,-1593,-1334,-1334,2153,2153,1838,1838,-2576,-2576,-1016,-1016,-1115,-1115,0
80,54,54,16,16,1771,1771,51,51,136,136,196,196,961,961,64,64,412,412,-35,-35,115,115,-457,-457,1567,1567,728,728,768,768,-96,-96,-1258,-1258,945,945,153,153,963,963,1
81,1667,1667,-833,-833,-2664,-2664,571,571,1571,1571,344,344,794,794,36,36,381,381,1536,1536,-126,-126,747,747,55,55,149,149,1494,1494,1095,1095,-58,-58,-1314,-1314,522,522,-96,-96,1
82,-179,-179,-1441,-1441,1915,1915,1579,1579,2042,2042,-728,-728,1632,1632,275,275,209,209,211,211,1144,1144,1236,1236,-1295,-1295,2962,2962,2515,2515,1756,1756,1248,1248,-343,-343,1861,1861,86,86,1
83,44,44,-25,-25,538,538,47,47,-1415,-1415,208,208,-1243,-1243,652,652,93,93,786,786,-105,-105,1421,1421,-278,-278,1222,1222,175,175,18,18,-48,-48,595,595,-801,-801,-115,-115,1
84,1605,1605,-157,-157,75,75,1598,1598,1198,1198,-595,-595,858,858,-72,-72,-1553,-1553,-261,-261,1717,1717,-389,-389,1559,1559,67,67,1356,1356,933,933,733,733,106,106,818,818,4,4,1
85,9,9,-42,-42,665,665,2124,2124,-2372,-2372,202,202,822,822,-1462,-1462,692,692,-1692,-1692,441,441,771,771,499,499,494,494,-1521,-1521,-2694,-2694,3153,3153,2208,2208,1201,1201,564,564,0
86,2426,2426,1127,1127,452,452,-758,-758,-216,-216,81,81,2129,2129,544,544,2487,2487,-971,-971,1591,1591,-45,-45,463,463,-788,-788,1082,1082,-889,-889,-68,-68,319,319,845,845,99,99,1
87,-2323,-2323,-2483,-2483,3073,3073,-3387,-3387,-3786,-3786,3677,3677,-3593,-3593,-4427,-4427,-908,-908,-9,-9,-1079,-1079,-1843,-1843,1324,1324,1879,1879,-348,-348,-916,-916,-743,-743,-11,-11,-1231,-1231,-1885,-1885,0
88,-2544,-2544,-6006,-6006,-973,-973,619,619,-1478,-1478,2964,2964,55,55,895,895,-1106,-1106,-1223,-1223,-3641,-3641,-674,-674,1561,1561,-452,-452,-199,-199,-541,-541,1016,1016,-105,-105,-1538,-1538,931,931,0
89,585,585,-3,-3,207,207,1749,1749,791,791,1504,1504,147,147,732,732,-2265,-2265,-53,-53,98,98,-848,-848,1097,1097,-26,-26,1042,1042,-683,-683,701,701,-454,-454,1598,1598,946,946,1
90,-826,-826,-1342,-1342,48,48,-3042,-3042,1732,1732,604,604,-397,-397,-138,-138,-1372,-1372,329,329,-3635,-3635,1057,1057,-215,-215,-505,-505,4745,4745,128,128,2863,2863,3987,3987,-536,-536,-993,-993,0
91,44,44,1674,1674,-876,-876,974,974,865,865,135,135,-175,-175,-358,-358,-94,-94,1853,1853,-428,-428,-906,-906,-392,-392,1685,1685,884,884,363,363,1366,1366,-676,-676,-15,-15,1507,1507,1
92,-1888,-1888,-983,-983,-478,-478,116,116,378,378,-14,-14,-478,-478,-706,-706,-1617,-1617,282,282,213,213,17,17,627,627,2577,2577,-697,-697,-1081,-1081,-728,-728,2165,2165,-834,-834,214,214,1
93,692,692,216,216,277,277,514,514,1186,1186,781,781,-1047,-1047,-939,-939,67,67,-1555,-1555,-864,-864,-1005,-1005,-1193,-1193,1839,1839,1164,1164,-1378,-1378,1422,1422,138,138,636,636,951,951,1
94,-584,-584,925,925,33,33,-405,-405,522,522,-1236,-1236,484,484,-278,-278,343,343,72,72,441,441,-2654,-2654,1832,1832,3242,3242,1437,1437,8,8,-522,-522,324,324,1665,1665,945,945,1
95,457,457,-66,-66,411,411,-522,-522,11,11,2544,2544,261,261,1519,1519,999,999,1393,1393,-1014,-1014,128,128,581,581,1264,1264,1184,1184,986,986,641,641,-1303,-1303,1656,1656,2324,2324,1
96,1398,1398,68,68,-368,-368,571,571,-1411,-1411,-19,-19,1262,1262,-3436,-3436,28,28,2435,2435,909,909,144,144,2094,2094,152,152,1028,1028,648,648,-137,-137,147,147,613,613,-348,-348,1
97,1995,1995,-954,-954,-979,-979,-1066,-1066,-174,-174,-2454,-2454,-31,-31,-36,-36,3111,3111,1555,1555,909,909,-82,-82,-2784,-2784,-1303,-1303,117,117,398,398,1022,1022,-1001,-1001,-3502,-3502,166,166,0
98,1222,1222,-212,-212,-2104,-2104,1954,1954,346,346,-266,-266,-2575,-2575,-878,-878,1384,1384,-1309,-1309,-752,-752,1591,1591,-1776,-1776,608,608,2329,2329,3814,3814,-2843,-2843,2163,2163,136,136,1419,1419,0
99,-631,-631,-3703,-3703,-1451,-1451,-3862,-3862,-1992,-1992,124,124,-183,-183,-2146,-2146,-428,-428,-3797,-3797,665,665,268,268,-1942,-1942,-1633,-1633,1386,1386,4,4,935,935,-1218,-1218,4101,4101,-667,-667,0
100,-77,-77,1435,1435,-1635,-1635,709,709,-1179,-1179,-17,-17,351,351,132,132,1216,1216,463,463,608,608,931,931,5,5,599,599,313,313,-1229,-1229,-229,-229,12,12,-467,-467,371,371,1
101,-587,-587,2316,2316,-285,-285,-994,-994,-1052,-1052,-1249,-1249,1032,1032,-1661,-1661,22,22,132,132,-736,-736,723,723,-1967,-1967,561,561,-1336,-1336,-2623,-2623,-296,-296,274,274,-3039,-3039,1695,1695,0
102,3078,3078,328,328,-1782,-1782,-1425,-1425,-698,-698,-828,-828,-1724,-1724,-644,-644,-3044,-3044,1196,1196,1395,1395,2392,2392,1001,1001,2518,2518,-102,-102,134,134,-1243,-1243,1418,1418,2257,2257,1905,1905,0
103,1133,1133,5104,5104,-2976,-2976,-1265,-1265,887,887,-74,-74,559,559,399,399,44,44,2126,2126,-829,-829,1796,1796,2892,2892,1232,1232,-1358,-1358,-2046,-2046,-4468,-4468,907,907,1152,1152,976,976,0
104,2787,2787,-3218,-3218,-243,-243,3112,3112,2844,2844,-3411,-3411,2408,2408,1281,1281,-9,-9,-379,-379,-1245,-1245,-2453,-2453,-1177,-1177,32,32,-499,-499,-3856,-3856,3958,3958,746,746,-649,-649,935,935,0
105,4,4,14,14,-1169,-1169,-18,-18,-36,-36,429,429,-59,-59,-3423,-3423,88,88,587,587,-44,-44,-18,-18,752,752,254,254,-108,-108,-31,-31,-264,-264,4546,4546,-503,-503,2485,2485,0
106,108,108,-3234,-3234,1868,1868,-1689,-1689,-4033,-4033,-231,-231,2924,2924,3606,3606,1259,1259,-2374,-2374,216,216,2246,2246,-572,-572,-2175,-2175,4215,4215,141,141,888,888,2063,2063,1567,1567,-1862,-1862,0
107,1132,1132,344,344,558,558,-107,-107,168,168,235,235,1935,1935,-1003,-1003,336,336,369,369,274,274,-12,-12,224,224,-249,-249,-51,-51,-49,-49,1242,1242,-671,-671,648,648,-65,-65,1
108,559,559,954,954,2184,2184,108,108,-245,-245,1197,1197,-1519,-1519,-517,-517,1018,1018,479,479,1453,1453,853,853,339,339,76,76,191,191,-1157,-1157,2598,2598,1447,1447,1969,1969,-27,-27,1
109,694,694,164,164,589,589,1435,1435,-172,-172,1297,1297,-868,-868,-27,-27,-412,-412,1856,1856,-148,-148,-821,-821,-572,-572,-2203,-2203,-178,-178,431,431,851,851,-1091,-1091,1112,1112,103,103,1
110,-1171,-1171,-233,-233,-3156,-3156,-614,-614,-46,-46,105,105,882,882,1384,1384,-2264,-2264,-2675,-2675,-1195,-1195,268,268,656,656,2906,2906,1167,1167,216,216,-1282,-1282,1378,1378,2773,2773,912,912,0
111,-356,-356,-244,-244,172,172,5,5,841,841,1122,1122,1519,1519,-253,-253,892,892,275,275,782,782,928,928,-316,-316,77,77,1746,1746,14,14,492,492,-456,-456,192,192,1133,1133,1
112,-597,-597,-942,-942,-713,-713,804,804,1175,1175,-784,-784,-359,-359,922,922,-1176,-1176,-477,-477,277,277,2736,2736,656,656,-1034,-1034,501,501,1212,1212,-1355,-1355,1601,1601,599,599,73,73,1
113,-695,-695,-254,-254,3166,3166,152,152,-205,-205,-1182,-1182,347,347,1631,1631,2887,2887,3548,3548,-543,-543,334,334,-438,-438,388,388,-492,-492,357,357,1232,1232,-2573,-2573,-3383,-3383,-383,-383,0
